item_id,similar,score,rank
计算机,机器学习,1.0,1
计算机,android,1.0,2
计算机,linux,1.0,3
计算机,数据库,1.0,4
计算机,互联网,1.0,5
机器学习,计算机,1.0,1
机器学习,android,1.0,2
机器学习,linux,1.0,3
机器学习,数据库,1.0,4
机器学习,互联网,1.0,5
算法,判断与决策,1.0,1
算法,经济,1.0,2
算法,历史,1.0,3
算法,数据结构,1.0,4
算法,心理,1.0,5
经济,判断与决策,1.0,1
经济,算法,1.0,2
经济,历史,1.0,3
经济,数据结构,1.0,4
经济,心理,1.0,5
传记,佛教,1.0,1
传记,编程,1.0,2
传记,哲学,1.0,3
传记,创业,1.0,4
传记,社会学,1.0,5
传记,理财,0.9638442993164062,6
理财,社会学,0.9638442993164062,1
理财,哲学,0.9638442993164062,2
理财,编程,0.9638442993164062,3
理财,创业,0.9638442993164062,4
理财,传记,0.9638442993164062,5
理财,佛教,0.9638442993164062,6
历史,判断与决策,1.0,1
历史,算法,1.0,2
历史,经济,1.0,3
历史,数据结构,1.0,4
历史,心理,1.0,5
数据结构,判断与决策,1.0,1
数据结构,算法,1.0,2
数据结构,经济,1.0,3
数据结构,历史,1.0,4
数据结构,心理,1.0,5
互联网,机器学习,1.0,1
互联网,android,1.0,2
互联网,linux,1.0,3
互联网,数据库,1.0,4
互联网,计算机,1.0,5
心理,判断与决策,1.0,1
心理,算法,1.0,2
心理,经济,1.0,3
心理,历史,1.0,4
心理,数据结构,1.0,5
数据库,机器学习,1.0,1
数据库,android,1.0,2
数据库,linux,1.0,3
数据库,互联网,1.0,4
数据库,计算机,1.0,5
linux,机器学习,1.0,1
linux,android,1.0,2
linux,数据库,1.0,3
linux,互联网,1.0,4
linux,计算机,1.0,5
android,机器学习,1.0,1
android,linux,1.0,2
android,数据库,1.0,3
android,互联网,1.0,4
android,计算机,1.0,5
判断与决策,算法,1.0,1
判断与决策,经济,1.0,2
判断与决策,心理,1.0,3
判断与决策,历史,1.0,4
判断与决策,数据结构,1.0,5
编程,哲学,1.0,1
编程,创业,1.0,2
编程,传记,1.0,3
编程,社会学,1.0,4
编程,佛教,1.0,5
编程,理财,0.9638442993164062,6
教育,旅行,1.0,1
教育,音乐,1.0,2
教育,设计,1.0,3
教育,健康,1.0,4
教育,育儿,1.0,5
教育,摄影,1.0,6
教育,情感,1.0,7
教育,成长,1.0,8
教育,养生,1.0,9
哲学,社会学,1.0,1
哲学,传记,1.0,2
哲学,创业,1.0,3
哲学,佛教,1.0,4
哲学,编程,1.0,5
哲学,理财,0.9638442993164062,6
创业,社会学,1.0,1
创业,传记,1.0,2
创业,哲学,1.0,3
创业,佛教,1.0,4
创业,编程,1.0,5
创业,理财,0.9638442993164062,6
成长,旅行,1.0,1
成长,音乐,1.0,2
成长,设计,1.0,3
成长,健康,1.0,4
成长,育儿,1.0,5
成长,摄影,1.0,6
成长,情感,1.0,7
成长,教育,1.0,8
成长,养生,1.0,9
情感,旅行,1.0,1
情感,音乐,1.0,2
情感,设计,1.0,3
情感,健康,1.0,4
情感,育儿,1.0,5
情感,摄影,1.0,6
情感,成长,1.0,7
情感,教育,1.0,8
情感,养生,1.0,9
育儿,旅行,1.0,1
育儿,音乐,1.0,2
育儿,设计,1.0,3
育儿,健康,1.0,4
育儿,情感,1.0,5
育儿,摄影,1.0,6
育儿,成长,1.0,7
育儿,教育,1.0,8
育儿,养生,1.0,9
健康,旅行,1.0,1
健康,音乐,1.0,2
健康,设计,1.0,3
健康,育儿,1.0,4
健康,情感,1.0,5
健康,摄影,1.0,6
健康,成长,1.0,7
健康,教育,1.0,8
健康,养生,1.0,9
社会学,创业,1.0,1
社会学,传记,1.0,2
社会学,哲学,1.0,3
社会学,佛教,1.0,4
社会学,编程,1.0,5
社会学,理财,0.9638442993164062,6
养生,旅行,1.0,1
养生,健康,1.0,2
养生,育儿,1.0,3
养生,情感,1.0,4
养生,成长,1.0,5
养生,教育,1.0,6
养生,摄影,1.0,7
养生,音乐,1.0,8
养生,设计,1.0,9
商业,管理,1.0,1
佛教,社会学,1.0,1
佛教,创业,1.0,2
佛教,传记,1.0,3
佛教,哲学,1.0,4
佛教,编程,1.0,5
佛教,理财,0.9638442993164062,6
管理,商业,1.0,1
个人管理,宗教,1.0,1
个人管理,文化,1.0,2
个人管理,投资,1.0,3
个人管理,时间管理,1.0,4
时间管理,宗教,1.0,1
时间管理,文化,1.0,2
时间管理,投资,1.0,3
时间管理,个人管理,1.0,4
投资,宗教,1.0,1
投资,文化,1.0,2
投资,时间管理,1.0,3
投资,个人管理,1.0,4
文化,宗教,1.0,1
文化,投资,1.0,2
文化,时间管理,1.0,3
文化,个人管理,1.0,4
爱情,科技,1.0,1
爱情,两性,1.0,2
爱情,股票,1.0,3
爱情,科学,1.0,4
爱情,思想,1.0,5
爱情,web,1.0,6
宗教,投资,1.0,1
宗教,时间管理,1.0,2
宗教,文化,1.0,3
宗教,个人管理,1.0,4
科技,爱情,1.0,1
科技,两性,1.0,2
科技,股票,1.0,3
科技,科学,1.0,4
科技,思想,1.0,5
科技,web,1.0,6
web,爱情,1.0,1
web,两性,1.0,2
web,股票,1.0,3
web,科学,1.0,4
web,思想,1.0,5
web,科技,1.0,6
思想,爱情,1.0,1
思想,两性,1.0,2
思想,股票,1.0,3
思想,科学,1.0,4
思想,web,1.0,5
思想,科技,1.0,6
科幻,思维,1.0,1
科幻,金融,1.0,2
科学,爱情,1.0,1
科学,两性,1.0,2
科学,股票,1.0,3
科学,思想,1.0,4
科学,web,1.0,5
科学,科技,1.0,6
股票,爱情,1.0,1
股票,两性,1.0,2
股票,科学,1.0,3
股票,思想,1.0,4
股票,web,1.0,5
股票,科技,1.0,6
两性,爱情,1.0,1
两性,股票,1.0,2
两性,科学,1.0,3
两性,思想,1.0,4
两性,web,1.0,5
两性,科技,1.0,6
思维,科幻,1.0,1
思维,金融,1.0,2
金融,科幻,1.0,1
金融,思维,1.0,2
科普,文学,1.0,1
科普,经典,1.0,2
科普,心灵,1.0,3
科普,生活,1.0,4
经典,文学,1.0,1
经典,科普,1.0,2
经典,心灵,1.0,3
经典,生活,1.0,4
生活,文学,1.0,1
生活,科普,1.0,2
生活,心灵,1.0,3
生活,经典,1.0,4
心灵,文学,1.0,1
心灵,科普,1.0,2
心灵,生活,1.0,3
心灵,经典,1.0,4
文学,心灵,1.0,1
文学,科普,1.0,2
文学,生活,1.0,3
文学,经典,1.0,4
摄影,养生,1.0,1
摄影,旅行,1.0,2
摄影,音乐,1.0,3
摄影,设计,1.0,4
摄影,健康,1.0,5
摄影,育儿,1.0,6
摄影,情感,1.0,7
摄影,成长,1.0,8
摄影,教育,1.0,9
设计,养生,1.0,1
设计,旅行,1.0,2
设计,音乐,1.0,3
设计,摄影,1.0,4
设计,健康,1.0,5
设计,育儿,1.0,6
设计,情感,1.0,7
设计,成长,1.0,8
设计,教育,1.0,9
音乐,养生,1.0,1
音乐,旅行,1.0,2
音乐,设计,1.0,3
音乐,摄影,1.0,4
音乐,健康,1.0,5
音乐,育儿,1.0,6
音乐,情感,1.0,7
音乐,成长,1.0,8
音乐,教育,1.0,9
旅行,养生,1.0,1
旅行,音乐,1.0,2
旅行,设计,1.0,3
旅行,摄影,1.0,4
旅行,健康,1.0,5
旅行,育儿,1.0,6
旅行,情感,1.0,7
旅行,成长,1.0,8
旅行,教育,1.0,9
